letter,img_x,img_y,scale,R0,theta0,R1,theta1,c0x,c0y,c1x,c1y,r0x,r0y,r1x,r1y,r0,r1,c0_x,c0_y,c1_x,c1_y,r0_x,r0_y,r1_x,r1_y
K,225.0,-995.0,10.324702,223.65152,1.127146,72.11102,-2.55359,309.0,399.0,452.0,279.0,261.0,298.0,482.0,299.0,21.6617893668989,6.9843197411412,8.135828036489576,135.01600336745796,21.986106717656355,123.39339188675856,3.4867834442098182,125.23363870453598,24.891759587831203,125.33049380020847
G,-105.0,-550.0,6.774037,238.07562,1.2012099,89.55445,-2.6279867,304.0,409.0,516.0,276.0,261.0,298.0,555.0,298.0,35.1453084770573,13.2202481326866,60.37758577344647,141.5699382805261,91.67354710344806,121.93615121972319,54.02982003198388,125.18384532000637,97.43082300849552,125.18384532000637
R,-885.0,-825.0,9.292232,91.389275,-2.7367008,83.25864,1.150133,288.0,277.0,546.0,333.0,330.0,295.0,529.0,295.0,9.83501864783402,8.96002596577442,126.23447197616245,118.59368125978774,153.999598804679,124.62022041636497,130.75437634359537,120.53078313154471,152.1701137035752,120.53078313154471
L,-900.0,-405.0,6.096633,93.03763,-2.6971734,80.99383,1.217806,264.0,291.0,564.0,350.0,306.0,311.0,550.0,312.0,15.260493784028,13.2850099390926,190.92505650249902,114.16137399118497,240.13254529180287,123.83884678641473,197.81410493300154,117.44187324380523,237.8361958149687,117.60589820643625
N,-1305.0,-405.0,6.096633,48.04165,1.5291537,46.043457,1.5273454,350.0,354.0,452.0,349.0,349.0,330.0,451.0,326.0,7.8800298459822,7.55227631382765,271.4613131543263,124.49494663693879,288.19185934268967,123.67482182378372,271.2972881916953,120.55834753379447,288.02783438005866,119.90224768327043
M,-1305.0,-405.0,4.9382725,48.04165,1.5291537,46.043457,1.5273454,296.0,216.0,499.0,204.0,295.0,192.0,498.0,181.0,9.72843236172163,9.32379835256155,324.20244123830753,125.7524772073635,365.3099337875745,123.32247764780092,323.99994127501066,120.89247808823835,365.1074338242776,118.66497849197265
T,-2110.0,-545.0,6.096633,42.190044,1.022247,54.589375,1.0743736,357.0,211.0,434.0,177.0,346.0,193.0,421.0,153.0,6.92022039050079,8.95402019442535,404.6495828107088,124.00287174904575,417.2795049332968,118.42602301959131,402.84530822176765,121.05042242168751,415.1471804190936,114.489423916447
D,-2445.0,-445.0,6.096633,44.94441,1.00748,59.05929,1.076855,361.0,301.0,576.0,190.0,349.0,282.0,562.0,164.0,7.37200517072292,9.68719783526415,460.2540451426222,122.36262212273562,495.51941210828994,104.15585127069319,458.28574559105004,119.24614783274637,493.2230626314558,99.89120224228685
THl,-3180.0,-445.0,6.774037,42.047592,-0.047583103,52.03845,1.6092389,447.0,384.0,524.0,341.0,426.0,385.0,525.0,315.0,6.20716893043247,7.68204395694916,535.426659169414,122.37901859703453,546.7935885204053,116.03125285557195,532.3265875282347,122.52664105613832,546.9412109795089,112.19306891887364
THr,-3180.0,-445.0,6.774037,50.0,1.8545904,44.04543,0.6889244,506.0,392.0,630.0,321.0,513.0,368.0,613.0,307.0,7.38112295518906,6.50209468888345,544.1363842565371,123.55999826986478,562.441569185406,113.07880367349632,545.1697414702636,120.01705925137404,559.9319873806418,111.01208924604339
